Murder,Non-Domestic Assault,Breaking and Entering Dwelling,Robbery,Attempted Murder,Sexual Assault,Year
4,1554,1256,91,7,343,April 2015 - March 2016
2,1744,1384,67,0,397,April 2015 - March 2017
4,1622,1052,100,2,406,April 2017 - March 2018
1,1684,1050,80,2,413,April 2018 - March 2019
3,1589,927,90,2,369,April 2019 - March 2020
1,1443,769,62,1,445,April 2020 - March 2021
5,1524,575,65,0,373,April 2021 - March 2022
4,1729,574,74,0,439,April 2022 - March 2023
2,1794,703,66,1,409,April 2023 - March 2024
1,1875,625,84,0,437,April 2024 - March 2025
